# window centre latitude, window latitude radius, window centre longitude, window longitude radius, POSIX timestamp
38.0,10.0,284.0,10.0,1777680000
# Number of axes
3
# axis 1: pressures
31
1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,70.0,50.0,30.0,20.0,10.0,7.0,5.0,3.0,2.0,1.0
# axis 2: latitudes
41
28.00,28.50,29.00,29.50,30.00,30.50,31.00,31.50,32.00,32.50,33.00,33.50,34.00,34.50,35.00,35.50,36.00,36.50,37.00,37.50,38.00,38.50,39.00,39.50,40.00,40.50,41.00,41.50,42.00,42.50,43.00,43.50,44.00,44.50,45.00,45.50,46.00,46.50,47.00,47.50,48.00
# axis 3: longitudes
41
274.00,274.50,275.00,275.50,276.00,276.50,277.00,277.50,278.00,278.50,279.00,279.50,280.00,280.50,281.00,281.50,282.00,282.50,283.00,283.50,284.00,284.50,285.00,285.50,286.00,286.50,287.00,287.50,288.00,288.50,289.00,289.50,290.00,290.50,291.00,291.50,292.00,292.50,293.00,293.50,294.00
# number of lines of data
52111
# data line component count
3
# now the data in axis 3 major order
# data is: geopotential height [gpm], u-component wind [m/s], v-component wind [m/s]
128.28944,-2.43217,-5.07675
130.19344,-1.31217,-5.55675
129.52144,-0.54217,-6.10675
128.67345,0.25783,-6.70675
126.83344,0.86783,-7.14675
126.59344,1.72783,-7.92675
106.64144,-0.24217,1.25325
107.34544,1.67783,-0.32675
104.84944,1.12783,0.19325
105.93744,1.11783,1.34325
104.49744,1.45783,0.42325
101.21744,1.19783,-0.70675
99.53745,0.57783,-0.68675
100.12944,-0.67217,0.89325
100.46544,-0.92217,0.92325
102.46544,-1.09217,-0.73675
104.56144,-0.83217,-0.17675
103.64944,-1.92217,0.43325
106.59344,-2.54217,0.06325
106.51344,-2.75217,-0.96675
108.19344,-4.85217,-1.46675
107.31344,-4.54217,-1.19675
104.88144,-5.23217,2.73325
106.44944,-5.09217,2.91325
108.75344,-4.83217,1.91325
112.11344,-4.54217,2.34325
115.21744,-4.80217,3.47325
116.54544,-5.71217,3.24325
118.24144,-5.73217,2.61325
120.80145,-5.27217,2.04325
122.51344,-5.34217,1.76325
125.74544,-4.84217,1.45325
128.09744,-4.33217,1.31325
127.84144,-4.71217,1.36325
128.81744,-4.58217,0.50325
132.12944,-3.69217,-0.47675
132.17744,-3.54217,-1.22675
132.60944,-3.31217,-2.21675
132.64145,-2.79217,-2.61675
129.87344,-2.81217,-3.00675
133.56944,-1.51217,-4.33675
129.79344,-1.39217,-5.50675
132.11343,-0.13217,-6.38675
129.93744,0.40783,-7.08675
127.02544,0.89783,-7.36675
125.21744,1.67783,-7.46675
122.81744,2.35783,-7.31675
103.63344,0.41783,-2.11675
105.02544,1.21783,-1.48675
104.88144,-0.00217,-1.49675
101.32944,1.04783,-2.61675
99.84144,0.92783,-1.00675
100.11344,0.14783,1.07325
101.39344,0.07783,0.77325
100.91344,-0.10217,0.45325
100.17744,-0.22217,0.46325
104.16144,0.51783,1.46325
103.34544,-0.34217,1.31325
105.76144,0.50783,-0.84675
105.24944,0.93783,1.63325
108.08144,-1.58217,3.32325
110.08144,-3.72217,1.36325
110.20944,-4.28217,-1.03675
110.03344,-4.12217,-1.34675
108.40144,-3.83217,1.11325
111.12144,-1.45217,3.23325
113.82544,-1.07217,5.39325
116.57744,-2.58217,5.54325
116.84944,-4.33217,5.56325
119.48944,-5.16217,5.14325
122.67344,-4.68217,3.71325
122.72144,-5.05217,2.87325
126.38544,-4.32217,2.14325
129.55344,-3.33217,1.49325
130.19344,-3.21217,1.06325
130.56145,-2.99217,0.87325
132.43344,-2.39217,0.01325
131.90544,-2.41217,-0.75675
132.30544,-2.16217,-1.55675
135.90544,-1.03217,-2.44675
132.80144,-1.04217,-3.30675
131.93744,-0.66217,-3.98675
131.08945,-0.21217,-5.04675
130.99344,0.25783,-5.73675
128.96144,0.67783,-6.91675
128.19344,1.54783,-7.91675
125.52144,2.12783,-8.71675
125.32944,3.23783,-9.06675
109.26544,0.60783,-2.05675
107.63344,0.90783,-1.85675
106.04944,0.70783,-1.26675
105.61744,0.53783,-1.30675
104.57744,1.04783,-1.69675
102.28944,1.14783,0.73325
100.46544,1.12783,1.86325
99.48944,0.86783,1.67325
100.67344,-0.30217,1.92325
102.99344,0.46783,1.61325
103.96944,0.41783,0.97325
105.60144,0.18783,1.18325
105.56944,0.95783,-0.66675
106.03344,-1.31217,-0.87675
109.52144,-4.22217,3.38325
112.88144,-3.52217,2.63325
113.84144,-4.62217,0.97325
113.12144,-5.92217,0.50325
113.76144,-7.73217,-0.78675
115.21744,-7.01217,-2.07675
115.47344,-6.15217,1.29325
116.41744,-4.67217,4.04325
119.60144,-5.26217,4.41325
123.34544,-5.20217,3.07325
123.90544,-4.62217,2.27325
127.04144,-3.45217,2.14325
128.73744,-2.40217,1.79325
129.80945,-1.57217,1.44325
131.07344,-1.22217,0.56325
131.34544,-0.95217,-0.28675
132.11343,-0.55217,-0.81675
132.24144,-0.41217,-1.24675
133.95345,0.32783,-1.96675
132.86545,0.67783,-2.68675
131.98544,0.81783,-3.59675
132.83344,1.19783,-4.51675
